user_id,eobt,eldt,departure_airport,arrival_airport,route,remarks,callsign,aircraft,registration,departure_stand,arrival_stand,departure_rwy,arrival_rwy
,2020-10-10 13:50,2020-10-10 16:20,LEMD,EDDF,RBO UN867 DGO UL176 CNA UN858 BOKNO DCT DIBES DCT TSU UN858 VALEK UM163 DIK T856 NIVNU T180 UNOKO,,ANE16BF,CRJX,ECMNR,,V112,,
,2020-10-10 14:45,2020-10-10 16:23,EGLL,EDDF,DET L6 DVR UL9 KONAN UL607 SPI T180 RASVO/F230 T180 UNOKO,,DLH3U,A20N,DAINE,,B25,,
,2020-10-10 13:55,2020-10-10 16:24,LBWN,EDDF,,,SXD41D,A320,YLLCT,,V107,,
,2020-10-10 15:10,2020-10-10 16:26,EDDT,EDDF,BRANE Z115 UBIGI M736 MAG Z20 ORTAG/F220 T177 ODIPI T157 KERAX,,EJU675N,A319,OELKL,,C2,,
,2020-10-10 15:40,2020-10-10 16:28,EDDL,EDDF,COL T911 ROLIS,,DLH085,E190,DAECB,,V157,,
,2020-10-10 15:10,2020-10-10 16:29,LOWW,EDDF,LUGEM DCT SUBEN T161 SPESA,,AUA12V,A321,OELBC,,A34,,
,2020-10-10 15:30,2020-10-10 16:30,EHAM,EDDF,EDUPO Z739 MISGO T911 ROLIS,,KLM1773,E75L,PHEXS,,V110,,
,2020-10-10 05:05,2020-10-10 16:32,RJTT,EDDF,,,DLH717,B748,DABYL,,A54,,
,2020-10-10 15:45,2020-10-10 16:34,EDDT,EDDF,BRANE Z115 UBIGI M736 MAG Z20 ORTAG/F220 T177 ODIPI T157 KERAX,,DLH2VT,A321,DAIRH,,A1,,
,2020-10-10 14:10,2020-10-10 16:35,LEPA,EDDF,MEROS UN853 VANAS DCT ESOKO DCT GODRA DCT DITON T163 EMPAX,,DLH1159,B738,DASXC,,V162,,
,2020-10-10 12:01,2020-10-10 16:36,LLBG,EDDF,,,ELY355,B738,4XEKF,,C6,,
,2020-10-10 14:35,2020-10-10 16:38,LEBL,EDDF,DALIN UN870 MAXIR UN853 MOBLO UZ662 LAMUR UZ67 KORED UN871 DITON T163 EMPAX,,DLH84M,A321,DAIDV,,V144,,
,2020-10-10 14:05,2020-10-10 16:39,LROP,EDDF,,,ROT305F,B737,YRBGI,,V108,,
,2020-10-10 08:05,2020-10-10 16:40,VIDP,EDDF,,,AIC121,B788,VTANI,,B45,,
,2020-10-10 05:15,2020-10-10 16:44,ZSPD,EDDF,,,DLH729,A388,DAIMC,,A66,,
,2020-10-10 14:00,2020-10-10 16:47,LPFR,EDDF,,,RYR700H,B738,EIDYY,,V106,,
,2020-10-10 15:15,2020-10-10 16:49,EGGW,EDDF,,,AXY2612,E35L,9HJPC,,V96,,
,2020-10-10 16:00,2020-10-10 16:51,EDDH,EDDF,IDEKO N850 PIROT T152 KERAX,,DLH2PJ,A321,DAIDI,,A21,,
,2020-10-10 05:10,2020-10-10 16:54,ZSNJ,EDDF,,,DLH781,A343,DAIGX,,C14,,
,2020-10-10 15:30,2020-10-10 16:54,EGLL,EDDF,DET L6 DVR UL9 KONAN UL607 SPI T180 RASVO/F230 T180 UNOKO,,DLH4H,A20N,DAINP,,B28,,
,2020-10-10 16:15,2020-10-10 16:56,EDLP,EDDF,WRB Z190 ROBAR T152 FUL DCT KERAX,,DLH365,CRJ9,DACKA,,V174,,
,2020-10-10 15:35,2020-10-10 16:57,LIMC,EDDF,ABESI N851 ROLSA Z162 ZUE T163 EMPAX,,AZA410,E75S,EIRDF,,V111,,
,2020-10-10 15:35,2020-10-10 16:58,LKPR,EDDF,BALTU L984 DONAD DCT SOPGA DCT RAPET T170 GAPLA T178 KERAX,,CSA536,AT75,OKNFV,,V117,,
,2020-10-10 15:05,2020-10-10 16:59,EGCC,EDDF,LISTO L612 HON L15 BIG UL9 KONAN UL607 SPI T180 UNOKO,,RYR4FL,B738,EIFZJ,,E5,,
,2020-10-10 15:50,2020-10-10 16:59,LFPG,EDDF,RANUX UN858 BETEX Z110 RASVO T180 UNOKO,,AFR43LR,E190,FHBLB,,D1,,
,2020-10-10 15:15,2020-10-10 17:01,EGPF,EDDF,NORBO Y96 NATEB N97 ROKAN M982 TOPPA DCT SOGPO DCT DIXAT T149 LIPMI T911 ROLIS,,DLH961,A320,DAIWD,,B24,,
,2020-10-10 16:20,2020-10-10 17:02,EDNY,EDDF,,,DLH5MF,A319,DAIBJ,,V173,,
,2020-10-10 13:45,2020-10-10 17:03,LPPT,EDDF,IXIDA DCT RIVRO DCT TOSDI UN745 ZMR UN873 OBATO UM163 TSU UN858 VALEK UM163 DIK T856 NIVNU T180 UNOKO,,TAP576G,A20N,CSTVD,,A28,,
,2020-10-10 16:15,2020-10-10 17:03,EDDM,EDDF,GIVMI Y101 ERNAS T161 SPESA,,DLH4LJ,A321,DAIRU,,A14,,
,2020-10-10 16:20,2020-10-10 17:05,LKPR,EDDF,BALTU L984 DONAD DCT SOPGA DCT RAPET T170 GAPLA T178 KERAX,,DLH3P,A320,DAIQF,,A17,,
,2020-10-10 14:50,2020-10-10 17:06,LEBL,EDDF,DALIN UN870 MAXIR UN853 MOBLO/F300 UZ662 LAMUR UZ67 KORED UN871 DITON T163 EMPAX,,DLH26E,A321,DAIRS,,A26,,
,2020-10-10 16:05,2020-10-10 17:07,EBBR,EDDF,SPI T180 UNOKO,,DLH7W,A319,DAILD,,A11,,
,2020-10-10 16:03,2020-10-10 17:07,EDDM,EDDF,GIVMI Y101 ERNAS T161 SPESA,,FDX3,B77L,N887FD,,F235,,
,2020-10-10 14:30,2020-10-10 17:08,LPFR,EDDF,,,DLH1163,A321,DAISL,,A18,,
,2020-10-10 15:30,2020-10-10 17:09,EPWA,EDDF,SOXER N869 UVIVI DCT TOMTI DCT ASTEL DCT RAPET T170 GAPLA T178 KERAX,,LOT3ZC,E195,SPLNC,,V118,,
,2020-10-10 05:25,2020-10-10 17:10,VTBS,EDDF,IGONI L507 CEA R460 LKN M890 SULOM L509 TAPIS M875 AMDAR A466 TMD A66 ODIVA T531 URL M166 IN L169 UK B102 ASKIL L735 GOVEN DCT TADUV T178 KERAX,,THA922,A359,HSTHM,,B46,,
,2020-10-10 14:35,2020-10-10 17:11,UKBB,EDDF,KAFEL T731 OKROT M70 TOLPA DCT LASIS DCT TADUV T178 KERAX,,DLH1495,A321,DAIRC,,B22,,
,2020-10-10 15:55,2020-10-10 17:13,LSGG,EDDF,MOLUS UN871 DITON T163 EMPAX,,DLH8K,A319,DAIBD,,A40,,
,2020-10-10 16:05,2020-10-10 17:13,LSZH,EDDF,DEGES Z1 SUDEN T164 KOVAN T163 SPESA,,DLH8C,A320,DAIUL,,A30,,
,2020-10-10 16:15,2020-10-10 17:14,EDDT,EDDF,BRANE Z115 UBIGI M736 MAG Z20 ORTAG/F220 T177 ODIPI T157 KERAX,,DLH2FR,A321,DAIDK,,B10,,
,2020-10-10 15:25,2020-10-10 17:17,LRCL,EDDF,,,DLH4YA,E190,DAECG,,V160,,
,2020-10-10 10:40,2020-10-10 17:18,OMDB,EDDF,DAVMO DCT GABKO M317 ROTAL UP574 SYZ UT430 VUVAG UL333 DASIS UR660 ERZ UW704 CRM UL746 ODERO L746 NEPOT L851 DEGET DCT ARSIN DCT SUBEN T161 SPESA,,UAE6RA,A388,A6EDF,,,,
,2020-10-10 15:50,2020-10-10 17:22,LJLJ,EDDF,BERTA DCT SIMBA Y700 NENUM T161 SPESA,,ADR124,B462,DAMGL,,,,
,2020-10-10 15:25,2020-10-10 17:22,ESSA,EDDF,NOSLI N850 BAGOS DCT RIMET/F220 T157 KERAX,,SAS673,A20N,SEROE,,,,
,2020-10-10 16:00,2020-10-10 17:24,EGLC,EDDF,,,DLH2MC,E190,DAECH,,,,
,2020-10-10 13:55,2020-10-10 17:25,BIKF,EDDF,,,DLH857,A321,DAISP,,,,
,2020-10-10 16:15,2020-10-10 17:27,LIMC,EDDF,ABESI N851 ROLSA Z162 ZUE T163 EMPAX,,DLH275,A319,DAILI,,,,
,2020-10-10 16:45,2020-10-10 17:27,EDDN,EDDF,SUKAD T159 SPESA,,DLH153,A320,DAIWE,,,,
,2020-10-10 16:40,2020-10-10 17:27,EDDS,EDDF,ETASA T163 SPESA,,DLH1UV,A319,DAILF,,,,
,2020-10-10 16:15,2020-10-10 17:28,LIPZ,EDDF,VIC L12 ALESE M985 VESAL DCT BRENO M726 ERNAS T161 SPESA,,DLH329,A320,DAIQD,,,,
,2020-10-10 14:25,2020-10-10 17:30,LTFM,EDDF,,,THY8HS,A333,TCLOG,,,,
,2020-10-10 16:30,2020-10-10 17:31,LFPG,EDDF,RANUX UN858 BETEX Z110 RASVO T180 UNOKO,,DLH6J,A20N,DAING,,,,
,2020-10-10 16:40,2020-10-10 17:32,EDDT,EDDF,BRANE Z115 UBIGI M736 MAG Z20 ORTAG/F220 T177 ODIPI T157 KERAX,,EJU289D,A319,OELKA,,,,
,2020-10-10 15:00,2020-10-10 17:33,LEMD,EDDF,RBO UN867 DGO UL176 CNA UN858 BOKNO DCT DIBES DCT TSU UN858 VALEK UM163 DIK T856 NIVNU T180 UNOKO,,DLH34C,A320,DAIUM,,,,
,2020-10-10 16:15,2020-10-10 17:34,EKCH,EDDF,,,SAS1635,A321,OYKBL,,,,
,2020-10-10 16:10,2020-10-10 17:34,EGLC,EDDF,,,CFE40E,E190,GLCYS,,,,
,2020-10-10 04:15,2020-10-10 17:36,SAEZ,EDDF,,,GEC8273,B77L,DALFF,,,,
,2020-10-10 16:30,2020-10-10 17:36,LOWI,EDDF,KOGOL M726 ERNAS T161 SPESA,,AUA287,DH8D,OELGN,,,,
,2020-10-10 16:10,2020-10-10 17:38,LIRQ,EDDF,,,DLH7AH,E190,DAECE,,,,
,2020-10-10 15:25,2020-10-10 17:38,EGLL,EDDF,DET L6 DVR UL9 KONAN UL607 SPI T180 RASVO/F230 T180 UNOKO,,BAW912N,A319,GEUPL,,,,
,2020-10-10 17:00,2020-10-10 17:39,ELLX,EDDF,ASMOX Y891 LULAT Y890 RASVO T180 UNOKO,,DLH397,A319,DAIBH,,,,
,2020-10-10 16:45,2020-10-10 17:39,LOWL,EDDF,LIDSI DCT SUBEN T161 SPESA,,DLH03Y,CRJ9,DACNW,,,,
,2020-10-10 16:10,2020-10-10 17:41,LOWW,EDDF,LUGEM DCT SUBEN T161 SPESA,,DLH6V,A321,DAISU,,,,
,2020-10-10 15:48,2020-10-10 17:41,LYBE,EDDF,TISAK L610 TONDO DCT ARSIN DCT SUBEN T161 SPESA,,ASL90C,A320,YUAPG,,,,
,2020-10-10 15:10,2020-10-10 17:42,ULLI,EDDF,,,DLH1437,A320,DAIUD,,,,
,2020-10-10 15:10,2020-10-10 17:43,LGTS,EDDF,,,DLH1289,A320,DAIQU,,,,
,2020-10-10 17:05,2020-10-10 17:44,EDDG,EDDF,OSN L980 ROBEG N850 PIROT T152 KERAX,,DLH069,A319,DAILH,,,,
,2020-10-10 16:40,2020-10-10 17:44,LFSB,EDDF,ELBEG Y715 HEUSE N851 TEDGO/F220 T164 KOVAN T163 SPESA,,DLH3KA,CRJ9,DACNA,,,,
,2020-10-10 16:45,2020-10-10 17:46,EDDT,EDDF,BRANE Z115 UBIGI M736 MAG Z20 ORTAG/F220 T177 ODIPI T157 KERAX,,DLH9WA,A321,DAISW,,,,
,2020-10-10 16:00,2020-10-10 17:46,LDZA,EDDF,,,CTN414,A319,9ACTL,,,,
,2020-10-10 16:20,2020-10-10 17:48,EPKT,EDDF,,,DLH2XY,CRJ9,DACNH,,,,
,2020-10-10 17:00,2020-10-10 17:49,EDDM,EDDF,GIVMI Y101 ERNAS T161 SPESA,,DLH2WL,A320,DAIUE,,,,
,2020-10-10 17:00,2020-10-10 17:49,EDDW,EDDF,ERLAD Y804 PIROT T152 KERAX,,DLH359,A321,DAISG,,,,
,2020-10-10 16:35,2020-10-10 17:50,EHAM,EDDF,EDUPO Z739 MISGO T911 ROLIS,,DLH2A,A321,DAISX,,,,
,2020-10-10 16:55,2020-10-10 17:51,LOWS,EDDF,INROM DCT SIMBA Y700 NENUM T161 SPESA,,AUA269,E195,OELWL,,,,
,2020-10-10 15:32,2020-10-10 17:52,EETN,EDDF,LONSA DCT KEDUX P31 BALIT G805 KUNER P31 LUXAL L730 ALUKA DCT KOSIX DCT NIMAB T171 LASTO T178 KERAX,,DLH883,A320,DAIUF,,,,
,2020-10-10 15:50,2020-10-10 17:53,EYVI,EDDF,UPASI DCT VABER L735 GOVEN DCT TADUV T178 KERAX,,DLH897,A20N,DAINH,,,,
,2020-10-10 16:40,2020-10-10 17:53,LIMC,EDDF,ABESI N851 ROLSA Z162 ZUE T163 EMPAX,,DLH5TU,CRJ9,DACKF,,,,
,2020-10-10 17:05,2020-10-10 17:55,EDDV,EDDF,TOLTA T154 ROBAR T152 KERAX,,DLH1TX,A321,DAIDJ,,,,
,2020-10-10 13:40,2020-10-10 17:56,HECA,EDDF,CVO A1 NOZ L607 GESAD L551 ANTAR UN133 PEREN UN128 RUGAS DCT RAXAD DCT RAMAP DCT SOMUN DCT SIVLA DCT OBUTI DCT MUREG DCT SIMBA Y700 NENUM T161 SPESA,,DLH583,A333,DAIKM,,,,
,2020-10-10 16:50,2020-10-10 17:57,EDDC,EDDF,BEBEX Q230 TADUV T178 KERAX,,DLH3FU,A20N,DAINT,,,,
